年份,能源消费总量,原煤占能源消费总量的比重 (%),原油占能源消费总量的比重 (%),天然气占能源消耗总量的比重 (%),一次电力及其他能源占能源消耗总量的比重 (%)
2005,4300.88,67.84,16.17424343,2.88073539,13.10580419
2006,4670.33,69.09,15.3,3.33,12.28
2007,5031.35,68.78,15.09,3.35,12.78
2008,5264.8,68.54,14.53,2.97,13.96
2009,5398,66.15,14.95,2.99,15.91
2010,5829.85,64.08,16.99,3.39,15.54
2011,6393.69,63.35,17.18,3.85,15.62
2012,6893.76,61.85,16.48,4.06,17.61
2013,7286.72,60.63,16.7042942,3.98474122,18.69
2014,7521.45,60.41,16.34,4.19,19.06
2015,7488.5,60.21,16.15,4.45,19.19
2016,7299.93,58.72,17.25,4.63,19.4
2017,7503.63,55.8310961,17.13,4.93,22.11
2018,7822.54,54.44,16.21,4.98,24.37
2019,7818.02,52.4,15.5,5.27,26.83
2020,8104.71,52.74,15.33,5.29,26.64
2021,8434.23,55.45,14.58,5.25,24.72
2022,8667.894231,55,15.46,5.46,24.08
2023,9088.69,51.43,15.34,5.88,27.35263872
